#    L    TT             EE             BB             TE          
   363   0.221660E+04   0.195411E+02   0.363452E-01   0.694537E+02
   364   0.219631E+04   0.196533E+02   0.364558E-01   0.677334E+02
   365   0.217640E+04   0.197632E+02   0.365666E-01   0.659975E+02
   366   0.215694E+04   0.198703E+02   0.366774E-01   0.642429E+02
   367   0.213793E+04   0.199728E+02   0.367883E-01   0.624720E+02
   368   0.211923E+04   0.200732E+02   0.368994E-01   0.606861E+02
   369   0.210113E+04   0.201706E+02   0.370106E-01   0.588830E+02
   370   0.208340E+04   0.202643E+02   0.371219E-01   0.570681E+02
   371   0.206605E+04   0.203543E+02   0.372335E-01   0.552375E+02
   372   0.204916E+04   0.204414E+02   0.373453E-01   0.533957E+02
   373   0.203272E+04   0.205248E+02   0.374573E-01   0.515398E+02
   374   0.201673E+04   0.206052E+02   0.375695E-01   0.496735E+02
   375   0.200112E+04   0.206819E+02   0.376820E-01   0.477968E+02
   376   0.198603E+04   0.207557E+02   0.377948E-01   0.459097E+02
   377   0.197140E+04   0.208251E+02   0.379079E-01   0.440151E+02
   378   0.195714E+04   0.208907E+02   0.380214E-01   0.421102E+02
   379   0.194334E+04   0.209534E+02   0.381351E-01   0.401994E+02
   380   0.193007E+04   0.210132E+02   0.382492E-01   0.382804E+02
   381   0.191717E+04   0.210663E+02   0.383637E-01   0.363563E+02
   382   0.190465E+04   0.211180E+02   0.384786E-01   0.344278E+02
   383   0.189266E+04   0.211652E+02   0.385940E-01   0.324933E+02
   384   0.188119E+04   0.212080E+02   0.387097E-01   0.305567E+02
   385   0.187003E+04   0.212487E+02   0.388259E-01   0.286165E+02
   386   0.185939E+04   0.212849E+02   0.389425E-01   0.266748E+02
   387   0.184914E+04   0.213166E+02   0.390597E-01   0.247316E+02
   388   0.183934E+04   0.213447E+02   0.391773E-01   0.227886E+02
   389   0.182998E+04   0.213669E+02   0.392955E-01   0.208456E+02
   390   0.182109E+04   0.213884E+02   0.394141E-01   0.189049E+02
   391   0.181264E+04   0.214047E+02   0.395334E-01   0.169650E+02
   392   0.180458E+04   0.214189E+02   0.396532E-01   0.150289E+02
   393   0.179704E+04   0.214279E+02   0.397735E-01   0.130959E+02
   394   0.178988E+04   0.214332E+02   0.398945E-01   0.111682E+02
