#    L    TT             EE             TE             PP             TP          
   144   0.364333E+04   0.105723E+01  -0.383871E+02   0.350633E+07   0.410283E+04
   145   0.367054E+04   0.104671E+01  -0.382632E+02   0.348585E+07   0.406594E+04
   146   0.369782E+04   0.103574E+01  -0.381172E+02   0.346553E+07   0.402952E+04
   147   0.372472E+04   0.102455E+01  -0.379480E+02   0.344538E+07   0.399355E+04
   148   0.375147E+04   0.101301E+01  -0.377572E+02   0.342538E+07   0.395801E+04
   149   0.377814E+04   0.100120E+01  -0.375436E+02   0.340554E+07   0.392288E+04
   150   0.380451E+04   0.989206E+00  -0.373051E+02   0.338586E+07   0.388814E+04
   151   0.383073E+04   0.976974E+00  -0.370449E+02   0.336633E+07   0.385378E+04
   152   0.385666E+04   0.964433E+00  -0.367618E+02   0.334695E+07   0.381979E+04
   153   0.388244E+04   0.951743E+00  -0.364535E+02   0.332773E+07   0.378617E+04
   154   0.390799E+04   0.938911E+00  -0.361225E+02   0.330866E+07   0.375291E+04
   155   0.393333E+04   0.925946E+00  -0.357683E+02   0.328974E+07   0.372001E+04
   156   0.395830E+04   0.912857E+00  -0.353909E+02   0.327098E+07   0.368746E+04
   157   0.398319E+04   0.899653E+00  -0.349890E+02   0.325236E+07   0.365526E+04
   158   0.400779E+04   0.886417E+00  -0.345635E+02   0.323389E+07   0.362341E+04
   159   0.403210E+04   0.873008E+00  -0.341145E+02   0.321557E+07   0.359190E+04
   160   0.405619E+04   0.859585E+00  -0.336408E+02   0.319739E+07   0.356073E+04
   161   0.408006E+04   0.846231E+00  -0.331439E+02   0.317937E+07   0.352990E+04
   162   0.410364E+04   0.832805E+00  -0.326240E+02   0.316148E+07   0.349939E+04
   163   0.412708E+04   0.819391E+00  -0.320798E+02   0.314374E+07   0.346922E+04
   164   0.415007E+04   0.806071E+00  -0.315129E+02   0.312614E+07   0.343936E+04
   165   0.417293E+04   0.792781E+00  -0.309211E+02   0.310869E+07   0.340983E+04
   166   0.419549E+04   0.779677E+00  -0.303063E+02   0.309138E+07   0.338061E+04
   167   0.421784E+04   0.766546E+00  -0.296691E+02   0.307420E+07   0.335170E+04
   168   0.423975E+04   0.753767E+00  -0.290077E+02   0.305717E+07   0.332310E+04
   169   0.426137E+04   0.741053E+00  -0.283220E+02   0.304027E+07   0.329480E+04
   170   0.428270E+04   0.728634E+00  -0.276138E+02   0.302352E+07   0.326681E+04
   171   0.430360E+04   0.716520E+00  -0.268809E+02   0.300689E+07   0.323911E+04
   172   0.432414E+04   0.704645E+00  -0.261251E+02   0.299041E+07   0.321170E+04
   173   0.434424E+04   0.693018E+00  -0.253464E+02   0.297406E+07   0.318458E+04
   174   0.436405E+04   0.681945E+00  -0.245450E+02   0.295784E+07   0.315774E+04
   175   0.438350E+04   0.671138E+00  -0.237203E+02   0.294175E+07   0.313118E+04
   176   0.440245E+04   0.660826E+00  -0.228724E+02   0.292580E+07   0.310490E+04
   177   0.442103E+04   0.650940E+00  -0.220030E+02   0.290998E+07   0.307889E+04
   178   0.443919E+04   0.641704E+00  -0.211108E+02   0.289428E+07   0.305315E+04
   179   0.445693E+04   0.632825E+00  -0.201958E+02   0.287872E+07   0.302766E+04
   180   0.447438E+04   0.624528E+00  -0.192598E+02   0.286328E+07   0.300244E+04
   181   0.449134E+04   0.616816E+00  -0.183028E+02   0.284797E+07   0.297747E+04
   182   0.450789E+04   0.609765E+00  -0.173235E+02   0.283278E+07   0.295274E+04
   183   0.452394E+04   0.603304E+00  -0.163236E+02   0.281772E+07   0.292826E+04
   184   0.453965E+04   0.597511E+00  -0.153025E+02   0.280278E+07   0.290402E+04
   185   0.455496E+04   0.592535E+00  -0.142624E+02   0.278795E+07   0.288001E+04
   186   0.456948E+04   0.588239E+00  -0.132007E+02   0.277325E+07   0.285623E+04
   187   0.458390E+04   0.584766E+00  -0.121188E+02   0.275867E+07   0.283267E+04
   188   0.459783E+04   0.582105E+00  -0.110186E+02   0.274420E+07   0.280933E+04
   189   0.461122E+04   0.580295E+00  -0.989852E+01   0.272985E+07   0.278620E+04
   190   0.462451E+04   0.579390E+00  -0.876106E+01   0.271562E+07   0.276329E+04
   191   0.463696E+04   0.579416E+00  -0.760335E+01   0.270150E+07   0.274058E+04
   192   0.464909E+04   0.580398E+00  -0.642778E+01   0.268749E+07   0.271807E+04
   193   0.466068E+04   0.582383E+00  -0.523597E+01   0.267359E+07   0.269575E+04
   194   0.467196E+04   0.585403E+00  -0.402585E+01   0.265980E+07   0.267363E+04
   195   0.468270E+04   0.589498E+00  -0.279977E+01   0.264612E+07   0.265169E+04
   196   0.469291E+04   0.594708E+00  -0.155715E+01   0.263255E+07   0.262993E+04
   197   0.470275E+04   0.601080E+00  -0.299616E+00   0.261909E+07   0.260835E+04
   198   0.471213E+04   0.608639E+00   0.973432E+00   0.260573E+07   0.258694E+04
   199   0.472106E+04   0.617424E+00   0.226111E+01   0.259247E+07   0.256570E+04
   200   0.472955E+04   0.627469E+00   0.356252E+01   0.257932E+07   0.254462E+04
   201   0.473752E+04   0.638833E+00   0.487830E+01   0.256626E+07   0.252369E+04
   202   0.474505E+04   0.651511E+00   0.620699E+01   0.255331E+07   0.250293E+04
   203   0.475206E+04   0.665550E+00   0.754936E+01   0.254046E+07   0.248232E+04
   204   0.475848E+04   0.680956E+00   0.890250E+01   0.252771E+07   0.246186E+04
   205   0.476445E+04   0.697762E+00   0.102687E+02   0.251505E+07   0.244155E+04
   206   0.476984E+04   0.715990E+00   0.116467E+02   0.250250E+07   0.242140E+04
   207   0.477479E+04   0.735648E+00   0.130361E+02   0.249004E+07   0.240140E+04
   208   0.477908E+04   0.756774E+00   0.144365E+02   0.247767E+07   0.238155E+04
   209   0.478286E+04   0.779377E+00   0.158476E+02   0.246540E+07   0.236185E+04
   210   0.478612E+04   0.803494E+00   0.172684E+02   0.245323E+07   0.234230E+04
   211   0.478888E+04   0.829141E+00   0.186990E+02   0.244114E+07   0.232290E+04
   212   0.479097E+04   0.856335E+00   0.201385E+02   0.242915E+07   0.230364E+04
   213   0.479263E+04   0.885104E+00   0.215869E+02   0.241726E+07   0.228453E+04
   214   0.479370E+04   0.915429E+00   0.230432E+02   0.240545E+07   0.226557E+04
   215   0.479426E+04   0.947488E+00   0.245066E+02   0.239373E+07   0.224675E+04
   216   0.479425E+04   0.981080E+00   0.259778E+02   0.238210E+07   0.222807E+04
   217   0.479380E+04   0.101635E+01   0.274546E+02   0.237057E+07   0.220953E+04
   218   0.479276E+04   0.105328E+01   0.289375E+02   0.235911E+07   0.219114E+04
   219   0.479123E+04   0.109186E+01   0.304274E+02   0.234775E+07   0.217288E+04
   220   0.478918E+04   0.113222E+01   0.319199E+02   0.233647E+07   0.215477E+04
   221   0.478663E+04   0.117428E+01   0.334173E+02   0.232528E+07   0.213679E+04
   222   0.478358E+04   0.121817E+01   0.349182E+02   0.231417E+07   0.211895E+04
   223   0.477988E+04   0.126379E+01   0.364233E+02   0.230315E+07   0.210125E+04
   224   0.477582E+04   0.131115E+01   0.379290E+02   0.229221E+07   0.208368E+04
   225   0.477118E+04   0.136036E+01   0.394383E+02   0.228135E+07   0.206624E+04
   226   0.476605E+04   0.141142E+01   0.409475E+02   0.227057E+07   0.204894E+04
   227   0.476033E+04   0.146432E+01   0.424582E+02   0.225987E+07   0.203178E+04
   228   0.475419E+04   0.151903E+01   0.439689E+02   0.224925E+07   0.201474E+04
   229   0.474756E+04   0.157562E+01   0.454782E+02   0.223871E+07   0.199784E+04
   230   0.474034E+04   0.163408E+01   0.469868E+02   0.222825E+07   0.198106E+04
   231   0.473256E+04   0.169447E+01   0.484942E+02   0.221787E+07   0.196442E+04
   232   0.472435E+04   0.175669E+01   0.499988E+02   0.220756E+07   0.194790E+04
   233   0.471565E+04   0.182096E+01   0.514992E+02   0.219733E+07   0.193151E+04
   234   0.470629E+04   0.188711E+01   0.529962E+02   0.218717E+07   0.191524E+04
   235   0.469652E+04   0.195520E+01   0.544883E+02   0.217709E+07   0.189911E+04
   236   0.468618E+04   0.202523E+01   0.559757E+02   0.216708E+07   0.188309E+04
   237   0.467535E+04   0.209724E+01   0.574569E+02   0.215714E+07   0.186720E+04
   238   0.466402E+04   0.217130E+01   0.589318E+02   0.214727E+07   0.185143E+04
   239   0.465227E+04   0.224726E+01   0.603999E+02   0.213748E+07   0.183578E+04
   240   0.463988E+04   0.232516E+01   0.618589E+02   0.212775E+07   0.182025E+04
   241   0.462714E+04   0.240514E+01   0.633097E+02   0.211810E+07   0.180484E+04
   242   0.461392E+04   0.248704E+01   0.647515E+02   0.210851E+07   0.178955E+04
   243   0.460020E+04   0.257100E+01   0.661829E+02   0.209899E+07   0.177438E+04
   244   0.458600E+04   0.265692E+01   0.676046E+02   0.208954E+07   0.175933E+04
   245   0.457130E+04   0.274487E+01   0.690139E+02   0.208015E+07   0.174439E+04
   246   0.455619E+04   0.283483E+01   0.704121E+02   0.207083E+07   0.172956E+04
   247   0.454067E+04   0.292672E+01   0.717972E+02   0.206157E+07   0.171485E+04
   248   0.452466E+04   0.302089E+01   0.731691E+02   0.205238E+07   0.170025E+04
   249   0.450831E+04   0.311680E+01   0.745272E+02   0.204325E+07   0.168576E+04
   250   0.449148E+04   0.321489E+01   0.758701E+02   0.203418E+07   0.167139E+04
   251   0.447430E+04   0.331486E+01   0.771984E+02   0.202517E+07   0.165712E+04
   252   0.445657E+04   0.341689E+01   0.785110E+02   0.201622E+07   0.164297E+04
   253   0.443865E+04   0.352077E+01   0.798066E+02   0.200733E+07   0.162892E+04
   254   0.442023E+04   0.362677E+01   0.810852E+02   0.199851E+07   0.161498E+04
   255   0.440140E+04   0.373458E+01   0.823471E+02   0.198974E+07   0.160114E+04
   256   0.438223E+04   0.384455E+01   0.835926E+02   0.198103E+07   0.158742E+04
   257   0.436271E+04   0.395624E+01   0.848135E+02   0.197238E+07   0.157379E+04
   258   0.434278E+04   0.406998E+01   0.860227E+02   0.196378E+07   0.156027E+04
   259   0.432249E+04   0.418563E+01   0.872056E+02   0.195525E+07   0.154686E+04
   260   0.430194E+04   0.430317E+01   0.883771E+02   0.194677E+07   0.153355E+04
   261   0.428095E+04   0.442250E+01   0.895152E+02   0.193835E+07   0.152033E+04
   262   0.425955E+04   0.454384E+01   0.906424E+02   0.192998E+07   0.150722E+04
   263   0.423809E+04   0.466695E+01   0.917514E+02   0.192167E+07   0.149421E+04
   264   0.421613E+04   0.479188E+01   0.928350E+02   0.191342E+07   0.148130E+04
   265   0.419374E+04   0.491856E+01   0.938858E+02   0.190521E+07   0.146849E+04
   266   0.417114E+04   0.504719E+01   0.949265E+02   0.189707E+07   0.145578E+04
   267   0.414812E+04   0.517738E+01   0.959349E+02   0.188897E+07   0.144316E+04
   268   0.412480E+04   0.530949E+01   0.969260E+02   0.188094E+07   0.143064E+04
   269   0.410106E+04   0.544320E+01   0.978927E+02   0.187295E+07   0.141821E+04
   270   0.407718E+04   0.557859E+01   0.988350E+02   0.186501E+07   0.140587E+04
   271   0.405294E+04   0.571556E+01   0.997531E+02   0.185713E+07   0.139363E+04
   272   0.402855E+04   0.585438E+01   0.100640E+03   0.184930E+07   0.138149E+04
   273   0.400381E+04   0.599446E+01   0.101510E+03   0.184152E+07   0.136943E+04
   274   0.397884E+04   0.613638E+01   0.102342E+03   0.183379E+07   0.135747E+04
   275   0.395359E+04   0.627959E+01   0.103159E+03   0.182611E+07   0.134559E+04
   276   0.392819E+04   0.642431E+01   0.103937E+03   0.181848E+07   0.133381E+04
   277   0.390242E+04   0.657053E+01   0.104699E+03   0.181090E+07   0.132211E+04
   278   0.387651E+04   0.671814E+01   0.105424E+03   0.180337E+07   0.131050E+04
   279   0.385037E+04   0.686708E+01   0.106118E+03   0.179588E+07   0.129898E+04
   280   0.382401E+04   0.701731E+01   0.106798E+03   0.178845E+07   0.128754E+04
   281   0.379757E+04   0.716891E+01   0.107441E+03   0.178106E+07   0.127619E+04
   282   0.377075E+04   0.732155E+01   0.108054E+03   0.177372E+07   0.126492E+04
   283   0.374386E+04   0.747546E+01   0.108637E+03   0.176642E+07   0.125374E+04
   284   0.371681E+04   0.763053E+01   0.109192E+03   0.175917E+07   0.124264E+04
   285   0.368961E+04   0.778676E+01   0.109717E+03   0.175197E+07   0.123161E+04
   286   0.366218E+04   0.794398E+01   0.110207E+03   0.174481E+07   0.122068E+04
   287   0.363458E+04   0.810217E+01   0.110675E+03   0.173769E+07   0.120982E+04
   288   0.360691E+04   0.826133E+01   0.111107E+03   0.173062E+07   0.119904E+04
   289   0.357907E+04   0.842137E+01   0.111511E+03   0.172360E+07   0.118834E+04
   290   0.355114E+04   0.858211E+01   0.111888E+03   0.171661E+07   0.117771E+04
   291   0.352313E+04   0.874430E+01   0.112221E+03   0.170967E+07   0.116716E+04
   292   0.349473E+04   0.890679E+01   0.112534E+03   0.170277E+07   0.115669E+04
   293   0.346653E+04   0.906921E+01   0.112805E+03   0.169591E+07   0.114630E+04
