#    L    TT             EE             TE          
   277   0.482018E+04   0.540970E+01   0.101636E+03
   278   0.479068E+04   0.555141E+01   0.102725E+03
   279   0.476087E+04   0.569506E+01   0.103784E+03
   280   0.473077E+04   0.584064E+01   0.104827E+03
   281   0.470051E+04   0.598824E+01   0.105833E+03
   282   0.466980E+04   0.613754E+01   0.106809E+03
   283   0.463894E+04   0.628879E+01   0.107754E+03
   284   0.460786E+04   0.644189E+01   0.108669E+03
   285   0.457654E+04   0.659685E+01   0.109554E+03
   286   0.454493E+04   0.675353E+01   0.110402E+03
   287   0.451309E+04   0.691192E+01   0.111227E+03
   288   0.448109E+04   0.707202E+01   0.112014E+03
   289   0.444888E+04   0.723375E+01   0.112770E+03
   290   0.441651E+04   0.739697E+01   0.113497E+03
   291   0.438399E+04   0.756242E+01   0.114179E+03
   292   0.435102E+04   0.772899E+01   0.114837E+03
   293   0.431819E+04   0.789630E+01   0.115451E+03
   294   0.428507E+04   0.806584E+01   0.116042E+03
   295   0.425202E+04   0.823613E+01   0.116587E+03
   296   0.421868E+04   0.840864E+01   0.117103E+03
   297   0.418525E+04   0.858116E+01   0.117588E+03
   298   0.415160E+04   0.875590E+01   0.118028E+03
   299   0.411795E+04   0.893213E+01   0.118431E+03
   300   0.408415E+04   0.910835E+01   0.118795E+03
   301   0.405028E+04   0.928607E+01   0.119130E+03
   302   0.401640E+04   0.946452E+01   0.119434E+03
   303   0.398245E+04   0.964446E+01   0.119693E+03
   304   0.394843E+04   0.982588E+01   0.119907E+03
   305   0.391440E+04   0.100073E+02   0.120090E+03
   306   0.388030E+04   0.101894E+02   0.120236E+03
   307   0.384621E+04   0.103723E+02   0.120337E+03
   308   0.381211E+04   0.105574E+02   0.120415E+03
   309   0.377808E+04   0.107418E+02   0.120440E+03
   310   0.374399E+04   0.109261E+02   0.120436E+03
   311   0.370997E+04   0.111127E+02   0.120386E+03
   312   0.367602E+04   0.112985E+02   0.120306E+03
   313   0.364208E+04   0.114850E+02   0.120181E+03
   314   0.360821E+04   0.116723E+02   0.120026E+03
   315   0.357442E+04   0.118588E+02   0.119826E+03
   316   0.354070E+04   0.120460E+02   0.119588E+03
   317   0.350706E+04   0.122325E+02   0.119312E+03
   318   0.347350E+04   0.124204E+02   0.118999E+03
   319   0.344009E+04   0.126075E+02   0.118649E+03
   320   0.340683E+04   0.127947E+02   0.118268E+03
   321   0.337364E+04   0.129826E+02   0.117842E+03
   322   0.334061E+04   0.131689E+02   0.117379E+03
   323   0.330773E+04   0.133552E+02   0.116878E+03
   324   0.327501E+04   0.135423E+02   0.116332E+03
   325   0.324251E+04   0.137263E+02   0.115764E+03
   326   0.321009E+04   0.139119E+02   0.115143E+03
   327   0.317789E+04   0.140966E+02   0.114492E+03
   328   0.314592E+04   0.142798E+02   0.113811E+03
   329   0.311411E+04   0.144630E+02   0.113085E+03
   330   0.308252E+04   0.146447E+02   0.112321E+03
   331   0.305123E+04   0.148256E+02   0.111528E+03
   332   0.302010E+04   0.150065E+02   0.110704E+03
   333   0.298919E+04   0.151859E+02   0.109843E+03
   334   0.295859E+04   0.153645E+02   0.108944E+03
   335   0.292814E+04   0.155408E+02   0.108008E+03
   336   0.289799E+04   0.157164E+02   0.107041E+03
   337   0.286815E+04   0.158912E+02   0.106030E+03
   338   0.283853E+04   0.160637E+02   0.104996E+03
   339   0.280929E+04   0.162362E+02   0.103925E+03
   340   0.278028E+04   0.164065E+02   0.102831E+03
   341   0.275150E+04   0.165744E+02   0.101692E+03
   342   0.272309E+04   0.167424E+02   0.100523E+03
   343   0.269499E+04   0.169073E+02   0.993239E+02
   344   0.266727E+04   0.170707E+02   0.980948E+02
   345   0.263977E+04   0.172319E+02   0.968357E+02
   346   0.261266E+04   0.173923E+02   0.955539E+02
   347   0.258584E+04   0.175496E+02   0.942347E+02
   348   0.255941E+04   0.177047E+02   0.928854E+02
   349   0.253328E+04   0.178583E+02   0.915060E+02
   350   0.250752E+04   0.180089E+02   0.901041E+02
   351   0.248230E+04   0.181580E+02   0.886720E+02
   352   0.245723E+04   0.183048E+02   0.872100E+02
   353   0.243261E+04   0.184486E+02   0.857327E+02
   354   0.240829E+04   0.185901E+02   0.842181E+02
   355   0.238443E+04   0.187294E+02   0.826809E+02
   356   0.236095E+04   0.188664E+02   0.811286E+02
   357   0.233784E+04   0.190004E+02   0.795463E+02
   358   0.231519E+04   0.191307E+02   0.779489E+02
   359   0.229284E+04   0.192587E+02   0.763217E+02
   360   0.227094E+04   0.193845E+02   0.746757E+02
   361   0.224942E+04   0.195072E+02   0.730065E+02
   362   0.222835E+04   0.196270E+02   0.713170E+02
   363   0.220766E+04   0.197445E+02   0.696096E+02
   364   0.218742E+04   0.198575E+02   0.678806E+02
   365   0.216756E+04   0.199683E+02   0.661358E+02
   366   0.214816E+04   0.200761E+02   0.643724E+02
   367   0.212920E+04   0.201794E+02   0.625926E+02
   368   0.211055E+04   0.202804E+02   0.607978E+02
   369   0.209249E+04   0.203785E+02   0.589859E+02
   370   0.207482E+04   0.204728E+02   0.571621E+02
   371   0.205752E+04   0.205634E+02   0.553226E+02
   372   0.204067E+04   0.206510E+02   0.534720E+02
   373   0.202428E+04   0.207349E+02   0.516073E+02
   374   0.200834E+04   0.208158E+02   0.497321E+02
   375   0.199277E+04   0.208929E+02   0.478466E+02
   376   0.197773E+04   0.209671E+02   0.459508E+02
   377   0.196315E+04   0.210368E+02   0.440475E+02
   378   0.194894E+04   0.211028E+02   0.421339E+02
   379   0.193518E+04   0.211658E+02   0.402144E+02
   380   0.192195E+04   0.212258E+02   0.382868E+02
   381   0.190909E+04   0.212791E+02   0.363541E+02
   382   0.189661E+04   0.213309E+02   0.344171E+02
   383   0.188466E+04   0.213783E+02   0.324741E+02
   384   0.187324E+04   0.214212E+02   0.305291E+02
   385   0.186212E+04   0.214619E+02   0.285805E+02
   386   0.185152E+04   0.214981E+02   0.266305E+02
   387   0.184131E+04   0.215298E+02   0.246791E+02
   388   0.183154E+04   0.215578E+02   0.227279E+02
   389   0.182223E+04   0.215799E+02   0.207769E+02
   390   0.181337E+04   0.216013E+02   0.188282E+02
   391   0.180496E+04   0.216174E+02   0.168804E+02
   392   0.179692E+04   0.216313E+02   0.149365E+02
   393   0.178942E+04   0.216400E+02   0.129957E+02
   394   0.178229E+04   0.216450E+02   0.110603E+02
   395   0.177554E+04   0.216456E+02   0.912884E+01
   396   0.176932E+04   0.216424E+02   0.720481E+01
   397   0.176340E+04   0.216355E+02   0.528691E+01
   398   0.175801E+04   0.216242E+02   0.337650E+01
   399   0.175299E+04   0.216091E+02   0.147442E+01
   400   0.174835E+04   0.215904E+02  -0.418409E+00
   401   0.174417E+04   0.215672E+02  -0.230140E+01
   402   0.174044E+04   0.215395E+02  -0.417364E+01
   403   0.173708E+04   0.215089E+02  -0.603453E+01
   404   0.173411E+04   0.214739E+02  -0.788252E+01
   405   0.173158E+04   0.214344E+02  -0.971842E+01
   406   0.172936E+04   0.213919E+02  -0.115400E+02
   407   0.172759E+04   0.213450E+02  -0.133488E+02
   408   0.172619E+04   0.212944E+02  -0.151403E+02
   409   0.172525E+04   0.212409E+02  -0.169167E+02
   410   0.172461E+04   0.211821E+02  -0.186774E+02
   411   0.172442E+04   0.211205E+02  -0.204200E+02
   412   0.172453E+04   0.210551E+02  -0.221454E+02
   413   0.172502E+04   0.209860E+02  -0.238520E+02
   414   0.172581E+04   0.209133E+02  -0.255399E+02
   415   0.172705E+04   0.208376E+02  -0.272068E+02
   416   0.172859E+04   0.207575E+02  -0.288542E+02
   417   0.173043E+04   0.206745E+02  -0.304815E+02
   418   0.173265E+04   0.205862E+02  -0.320855E+02
   419   0.173524E+04   0.204958E+02  -0.336671E+02
   420   0.173813E+04   0.204025E+02  -0.352262E+02
   421   0.174140E+04   0.203054E+02  -0.367615E+02
   422   0.174497E+04   0.202047E+02  -0.382736E+02
   423   0.174877E+04   0.201003E+02  -0.397602E+02
   424   0.175286E+04   0.199930E+02  -0.412223E+02
   425   0.175733E+04   0.198820E+02  -0.426574E+02
   426   0.176210E+04   0.197688E+02  -0.440665E+02
   427   0.176710E+04   0.196520E+02  -0.454501E+02
   428   0.177239E+04   0.195322E+02  -0.468047E+02
   429   0.177791E+04   0.194095E+02  -0.481317E+02
   430   0.178381E+04   0.192846E+02  -0.494310E+02
   431   0.178993E+04   0.191560E+02  -0.507013E+02
   432   0.179620E+04   0.190245E+02  -0.519433E+02
   433   0.180284E+04   0.188916E+02  -0.531540E+02
   434   0.180964E+04   0.187549E+02  -0.543363E+02
   435   0.181666E+04   0.186169E+02  -0.554882E+02
   436   0.182398E+04   0.184759E+02  -0.566094E+02
   437   0.183153E+04   0.183320E+02  -0.576987E+02
   438   0.183922E+04   0.181859E+02  -0.587559E+02
   439   0.184722E+04   0.180384E+02  -0.597826E+02
   440   0.185537E+04   0.178879E+02  -0.607758E+02
   441   0.186374E+04   0.177353E+02  -0.617378E+02
   442   0.187218E+04   0.175804E+02  -0.626662E+02
   443   0.188093E+04   0.174242E+02  -0.635619E+02
   444   0.188983E+04   0.172664E+02  -0.644233E+02
   445   0.189888E+04   0.171051E+02  -0.652513E+02
   446   0.190800E+04   0.169437E+02  -0.660443E+02
   447   0.191735E+04   0.167809E+02  -0.668046E+02
   448   0.192678E+04   0.166152E+02  -0.675307E+02
   449   0.193643E+04   0.164488E+02  -0.682210E+02
   450   0.194623E+04   0.162817E+02  -0.688779E+02
   451   0.195611E+04   0.161124E+02  -0.694990E+02
   452   0.196606E+04   0.159424E+02  -0.700867E+02
   453   0.197624E+04   0.157717E+02  -0.706387E+02
   454   0.198642E+04   0.155996E+02  -0.711566E+02
   455   0.199667E+04   0.154267E+02  -0.716403E+02
   456   0.200716E+04   0.152524E+02  -0.720831E+02
   457   0.201756E+04   0.150782E+02  -0.724992E+02
   458   0.202812E+04   0.149033E+02  -0.728701E+02
   459   0.203876E+04   0.147283E+02  -0.732113E+02
   460   0.204947E+04   0.145520E+02  -0.735169E+02
   461   0.206018E+04   0.143757E+02  -0.737876E+02
   462   0.207097E+04   0.141987E+02  -0.740176E+02
   463   0.208176E+04   0.140225E+02  -0.742254E+02
   464   0.209255E+04   0.138463E+02  -0.743813E+02
   465   0.210334E+04   0.136702E+02  -0.745150E+02
   466   0.211421E+04   0.134934E+02  -0.746043E+02
   467   0.212515E+04   0.133173E+02  -0.746640E+02
   468   0.213603E+04   0.131420E+02  -0.746866E+02
   469   0.214690E+04   0.129661E+02  -0.746798E+02
   470   0.215784E+04   0.127916E+02  -0.746359E+02
